股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH600938,N中海油,13.79,+2.99,+27.69%,27.69%,882277284,12124020797.16,59.1%,9.265,,651542418019
SH601012,隆基股份,62.58,-4.22,-6.32%,-27.4%,85058616,5436471737.86,1.57%,34.737,0.285%,338742580467
SH600519,贵州茅台,1779.98,-17.02,-0.95%,-13.17%,2895261,5160788004.08,0.23%,42.623,1.218%,2236006960044
SH600036,招商银行,41.28,+0.18,+0.44%,-15.25%,114350098,4747988004.46,0.55%,8.681,3.687%,1041075226409
SH600062,华润双鹤,23.9,+1.03,+4.5%,78.76%,149468752,3523221482.97,14.57%,26.647,2.008%,24933381269
SH600313,农发种业,9.72,-1.08,-10%,84.09%,322056382,3398359220.86,31.59%,191.628,,10518971004
SH600096,云天化,24.64,-2.74,-10.01%,25.59%,122484381,3128887032.35,7.14%,9.599,,45236409458
SH601318,中国平安,46.22,+0.31,+0.68%,-8.31%,54904356,2554919426.49,0.51%,8.315,5.149%,844912757970
SH603259,药明康德,96.62,-4.25,-4.21%,-18.52%,25444047,2497264499.56,1%,56.029,0.535%,285590940857
SH600111,北方稀土,32.31,-1.59,-4.69%,-29.45%,71015992,2348725747.17,1.95%,22.882,1.377%,117384362460
SH601888,中国中免,175.16,-7.1,-3.9%,-20.17%,12306425,2175255750.98,0.63%,29.825,0.571%,341995616287
SH601985,中国核电,7.39,-0.49,-6.22%,-10.96%,282439477,2132013053.67,1.53%,18.606,1.629%,139293594296
SH601899,紫金矿业,11.01,-0.43,-3.76%,13.51%,188969162,2105839855.53,0.92%,15.031,1.817%,289885727762
SH600141,兴发集团,33.14,-2.8,-7.79%,-12.51%,61552143,2096881938.2,6.31%,8.676,1.509%,36842555332
SH601696,中银证券,13.81,+0.54,+4.07%,2.68%,147660026,2019238652.65,10.17%,39.895,0.261%,38364180000
SH601166,兴业银行,21.13,-0.13,-0.61%,10.98%,91294460,1947659208.26,0.44%,5.309,4.898%,438958650569
SH600508,上海能源,15.63,-0.47,-2.92%,38.44%,116921072,1940650038.87,16.18%,30.257,0.992%,11296082340
SH600056,中国医药,21.92,-0.68,-3.01%,85.61%,85712087,1912510720.33,8.02%,25.789,1.679%,23421202905
SH603229,奥翔药业,72.35,+6.24,+9.44%,98.71%,25086986,1782675764.43,8.85%,120.202,0.141%,20767897188
SH600438,通威股份,37.44,-1.74,-4.44%,-16.73%,46527048,1764547134.58,1.03%,27.096,0.644%,168537964009
SH600048,保利发展,17.51,+0.08,+0.46%,12.03%,96725458,1693446859.5,0.81%,7.653,3.312%,209599667447
SH600031,三一重工,16.72,-0.66,-3.8%,-26.67%,99949593,1693361943.61,1.18%,9.135,3.585%,142007742271
SH600030,中信证券,19.84,-0.07,-0.35%,-20.32%,83654466,1670154355.14,0.74%,12.729,2.722%,294039649087
SH601990,南京证券,9.37,+0.6,+6.84%,-5.45%,178047727,1669674720.93,4.92%,35.337,1.387%,34541202889
SH600887,伊利股份,38.43,-0.4,-1.03%,-7.31%,42246737,1631565608.17,0.71%,27.334,2.028%,245957031179
SH600196,复星医药,41.9,-1.76,-4.03%,-14.38%,37660616,1604614663.49,1.87%,22.678,1.337%,107385449036
SH600276,恒瑞医药,33.17,-1.15,-3.35%,-34.59%,47158907,1595108818.94,0.74%,33.709,0.504%,211591505429
SH603799,华友钴业,75,-3.59,-4.57%,-32.01%,20744192,1580314632.99,1.71%,32.174,0.265%,91594933725
SH601398,工商银行,4.78,+0.04,+0.84%,3.24%,329791138,1578338095.22,0.12%,4.891,6.136%,1703621908885
SH600199,金种子酒,26.03,-2.09,-7.43%,53.93%,58026295,1543697204.49,8.82%,567.479,,17122451329
SH600460,士兰微,43.2,-0.18,-0.41%,-20.3%,34373074,1495745062.88,2.58%,40.307,0.231%,61174303704
SH601668,中国建筑,5.78,-0.08,-1.37%,15.6%,254595781,1481344325.68,0.62%,4.716,4.325%,242418164118
SH601857,中国石油,5.16,-0.25,-4.62%,5.09%,279973221,1469169159.11,0.17%,10.247,4.392%,944388245541
SH603501,韦尔股份,155.33,-4.37,-2.74%,-50.02%,8632948,1366842072.13,1.09%,30.43,0.335%,136210306657
SH600900,长江电力,23.54,+0.19,+0.81%,3.7%,57129450,1343779498.81,0.25%,20.9,2.974%,535343366274
SH601919,中远海控,14.64,-0.4,-2.66%,-21.67%,89851650,1326896736.65,0.71%,2.626,5.943%,234447665179
SH600596,新安股份,27.2,-1.69,-5.85%,8.84%,47446988,1323508732.71,6.45%,8.386,1.838%,22260218499
SH601288,农业银行,3.07,+0.01,+0.33%,4.42%,415564827,1279543479.54,0.14%,4.455,6.736%,1074447913990
SH600598,北大荒,15.28,-0.91,-5.62%,4.95%,73041499,1146502638.18,4.11%,31.68,2.618%,27162949010
SH600703,三安光电,20.12,-0.93,-4.42%,-46.43%,54444635,1124665622.17,1.33%,66.079,0.746%,90124347117
SH600657,信达地产,6.56,-0.73,-10.01%,75.87%,165136856,1119844958.59,5.79%,22.948,1.067%,18708323583
SH601225,陕西煤业,16.55,-0.09,-0.54%,35.66%,65699828,1097655674.85,0.68%,9.082,4.986%,160452250000
SH601669,中国电建,6.8,-0.31,-4.36%,-15.84%,158538669,1096784854.06,1.42%,12.268,1.362%,104033438163
SH600809,山西汾酒,262,-2.01,-0.76%,-17.03%,4092053,1076619825.97,0.34%,58.571,0.055%,319669965464
SH600905,三峡能源,5.43,-0.18,-3.21%,-27.7%,192897893,1061948406.73,2.25%,32.392,0.697%,155411758500
SH600089,特变电工,19.05,-0.67,-3.4%,-10.01%,54668625,1054390531.16,1.44%,9.952,3.045%,72201620055
SH603806,福斯特,90,-9.55,-9.59%,-31.06%,11300820,1053572244.1,1.19%,38.97,0.389%,85599337320
SH601088,中国神华,29.22,-0.34,-1.15%,29.75%,35274576,1041494494.77,0.21%,11.549,8.693%,580558153085
SH600180,瑞茂通,9.15,+0.06,+0.66%,28.15%,104760572,1001127280.98,10.31%,16.639,0.509%,9300768796
SH600010,包钢股份,2.04,-0.1,-4.67%,-26.88%,478742992,994190964.89,1.51%,32.442,0.931%,92993466602
SH600188,兖矿能源,34.57,+0.12,+0.35%,46.92%,27692510,966694418.82,0.93%,10.522,5.785%,171076684835
SH600354,敦煌种业,6.93,-0.77,-10%,5.16%,131859629,965964604.68,24.98%,404.111,,3657668414
SH603986,兆易创新,132.72,-0.78,-0.58%,-24.53%,7190193,959943772.18,1.16%,47.731,0.3%,88586233777
SH600256,广汇能源,7.92,-0.38,-4.58%,21.1%,115033089,928810195.4,1.75%,8.108,5.051%,52000780701
SH603778,乾景园林,5.6,+0.29,+5.46%,20.17%,166216033,899826000.97,25.86%,,,3599999995
SH600988,赤峰黄金,19.03,-1.25,-6.16%,27.72%,45932379,894885026.01,2.99%,38.229,,31664233523
SH600740,山西焦化,6.64,-0.12,-1.78%,6.92%,130163665,888384284.14,5.08%,8.442,2.317%,17012484463
SH600581,八一钢铁,6.8,-0.4,-5.56%,9.5%,125962068,874542477.91,8.22%,8.825,,10423705516
SH600763,通策医疗,132.9,-9.75,-6.83%,-33.22%,6346249,866325779.48,1.98%,59.775,,42613056000
SH600309,万华化学,80,-0.33,-0.41%,-20.79%,10608506,852150332.67,0.34%,10.19,3.125%,251179730080
SH600009,上海机场,50.8,-0.2,-0.39%,8.8%,16195492,829367695.16,1.48%,,,97889489158
SH601699,潞安环能,16.86,-0.16,-0.94%,49.07%,48002720,819929608.9,1.6%,7.898,1.151%,50435159112
SH601666,平煤股份,14.58,-0.36,-2.41%,74.19%,54232066,812536540.06,2.36%,11.551,5.213%,33755848624
SH601236,红塔证券,10.89,+0.4,+3.81%,-8.64%,74581778,812020166.18,2.92%,32.588,0.921%,51365818510
SH601600,中国铝业,5.28,-0.15,-2.76%,-13.3%,151703803,809464664.85,1.16%,17.694,0.606%,89879713181
SH600745,闻泰科技,66.28,-1.52,-2.24%,-48.74%,11828897,797399664.41,1.26%,37.589,0.249%,82607349251
SH600277,亿利洁能,4.75,-0.44,-8.48%,-9.87%,161873406,793458145.41,4.55%,20.069,0.923%,16912955422
SH600436,片仔癀,297.04,-7.26,-2.39%,-32.05%,2641265,791195509.9,0.44%,73.705,0.407%,179209344058
SH603993,洛阳钼业,4.92,-0.26,-5.02%,-11.83%,157542936,787953369.17,0.89%,20.812,1.448%,106268263668
SH600348,华阳股份,11.35,-0.73,-6.04%,-4.22%,67361838,787179862.68,2.8%,7.725,4.405%,27296750000
SH600318,新力金融,7.41,+0.67,+9.94%,-40.24%,109932900,784719909.58,21.49%,,,3799311753
SH600338,西藏珠峰,20.56,-1.72,-7.72%,-45.41%,36766103,783294040.34,4.02%,31.437,,18796161054
SH600470,六国化工,8.47,-0.94,-9.99%,19.46%,89404196,775196192.33,17.14%,18.618,,4417952000
SH601615,明阳智能,21.43,-0.57,-2.59%,-17.89%,35650273,773607970.58,1.84%,14.541,1.032%,45094199780
SH600884,杉杉股份,23.64,-1.52,-6.04%,-27.86%,31580571,770401211,1.91%,15.169,1.396%,50658627334
SH603035,常熟汽饰,14.79,-0.31,-2.05%,-16.53%,51423445,764710928.13,13.53%,13.374,2.364%,5620657499
SH603299,苏盐井神,9.78,-1.09,-10.03%,2.3%,73652865,757029491.37,13.17%,35.167,0.594%,7559221610
SH600690,海尔智家,24.04,-0.43,-1.76%,-19.57%,30832615,748257156.31,0.49%,17.379,1.913%,227094409651
SH603399,吉翔股份,22.2,-2.47,-10.01%,235.85%,32371007,741006352.25,6.37%,,,11289225008
SH601952,苏垦农发,14.4,-1.11,-7.16%,20.91%,49313147,730816067.33,3.58%,26.922,1.667%,19843200000
SH600702,舍得酒业,148.5,-4.47,-2.92%,-34.67%,4870257,730286194.5,1.48%,39.588,0.539%,49312540382
SH600251,冠农股份,10.01,-1.11,-9.98%,5.93%,68863662,716596773.85,8.86%,25.957,0.4%,7822127143
SH601009,南京银行,11.8,+0.09,+0.77%,31.7%,60369359,714113840.54,0.71%,7.046,4.029%,118182009006
SH600381,青海春天,15.48,-1.68,-9.79%,83.63%,43870503,710249322.78,7.47%,,,9087700271
SH600502,安徽建工,5.02,-0.17,-3.28%,20.96%,140721032,709244704.15,8.18%,7.885,4.98%,8640224565
SH603538,美诺华,47.76,-2.01,-4.04%,34.5%,14352010,706290429.51,9.52%,45.032,,7280468443
SH600123,兰花科创,13.61,-0.16,-1.16%,45.25%,51036296,705972610.96,4.47%,10.117,0.735%,15548064000
SH600919,江苏银行,7.2,-0.1,-1.37%,23.5%,97231712,705780939.73,0.66%,5.4,5.556%,106341362215
SH600511,国药股份,28.6,+0.61,+2.18%,-9.29%,24036506,696876012.26,4.34%,11.791,2.448%,21578785743
SH605358,立昂微,81.35,-2.53,-3.02%,-32.21%,8352555,696486452.82,2.46%,48.791,0.676%,37203793222
SH601001,晋控煤业,13.08,-0.46,-3.4%,36.11%,52215091,695979374.04,3.12%,8.082,,21891996000
SH600875,东方电气,12.03,-0.58,-4.6%,-43.84%,55468783,693983955.52,2.77%,16.392,1.912%,37521583594
SH603077,和邦生物,3.4,-0.18,-5.03%,-0.29%,198771590,687822142.36,2.25%,9.932,0.441%,30026250775
SH600546,山煤国际,13.53,-0.52,-3.7%,64.8%,49096654,682654860.74,2.48%,13.856,0.488%,26822631574
SH601898,中煤能源,9.05,-0.2,-2.16%,43.88%,73876973,679898046.68,0.81%,9.034,3.326%,119990903770
SH601658,邮储银行,5.46,-0.06,-1.09%,7.06%,122461136,677525572.63,1.09%,6.622,4.531%,504416463123
SH600782,新钢股份,5.9,-0.37,-5.9%,11.74%,112136812,675332072.72,3.52%,4.434,5.085%,18813463906
SH603026,石大胜华,103.27,-5.23,-4.82%,-47.84%,6354068,672776671.16,3.14%,17.762,0.291%,20930763600
SH603696,安记食品,14.11,+1.28,+9.98%,47.44%,48263772,669273473.19,20.52%,73.11,0.886%,3318672000
SH600547,山东黄金,20.02,-0.8,-3.84%,6.38%,32986306,669237319.35,0.91%,198.712,0.25%,89558059091
SH600570,恒生电子,36.31,-1.27,-3.38%,-41.58%,18028343,665087799.13,1.23%,36.261,0.275%,53069261029
SH601633,长城汽车,24.23,-1.23,-4.83%,-50.08%,26711533,660950446.8,0.44%,33.27,1.527%,223780013936
SH601611,中国核建,8.34,-0.61,-6.82%,-16.35%,75924719,659561519.33,2.89%,15.226,0.78%,22089720559
SH600197,伊力特,28.78,-1.46,-4.83%,6.12%,22343388,657723539.91,4.73%,33.46,1.407%,13582797670
SH601939,建设银行,6.11,+0.02,+0.33%,4.27%,106671049,654004640.37,1.11%,5.05,5.957%,1527567072439
SH600893,航发动力,37.39,-1.05,-2.73%,-41.08%,17185616,653233900.64,0.74%,83.921,0.361%,99666568559
SH603260,合盛硅业,84.7,-4.18,-4.7%,-35.82%,7526224,651102569.96,0.8%,15.994,0.299%,90981824372
SH603636,南威软件,10.86,-0.69,-5.97%,21.48%,58663708,650892561.03,9.93%,27.316,1.105%,6416018257
SH605111,新洁能,130,-1.19,-0.91%,-27.01%,4895908,650578691.43,4.82%,41.446,0.442%,18566730000
SH601328,交通银行,5.09,-0.01,-0.2%,10.41%,126456085,647891161.34,0.32%,4.316,6.974%,377997278623
SH600383,金地集团,13.41,0,0,3.39%,47808806,645805241.53,1.06%,6.947,5.22%,60540565701
SH600028,中国石化,4.24,-0.06,-1.4%,0.24%,151089139,645520597.79,0.16%,7.209,11.085%,513341928899
SH601933,永辉超市,4.17,-0.25,-5.66%,2.96%,152089014,643874932.94,1.68%,,0.513%,37842904261
SH600359,新农开发,9.72,-1.08,-10%,16.13%,63280895,643327005.72,16.59%,47.698,,3708304610
SH600108,亚盛集团,3.74,-0.22,-5.56%,5.95%,161246691,637105165.76,8.28%,110.486,0.107%,7281462553
SH600389,江山股份,55.87,-3.87,-6.48%,35.87%,11247440,635958452.9,3.79%,12.334,1.79%,16593390000
SH600660,福耀玻璃,34.2,-0.59,-1.7%,-27.45%,18320397,631318289.39,0.91%,28.226,2.924%,89253228794
SH601168,西部矿业,13.41,-0.49,-3.53%,-1.47%,45568922,628298737.87,1.91%,13.685,0.895%,31956030000
SH601918,新集能源,5.14,-0.05,-0.96%,13.22%,118745352,627917088.3,4.58%,5.862,0.681%,13315384852
SH603659,璞泰来,118.2,-5.98,-4.82%,-26.41%,5170882,620861585.34,0.75%,40.022,0.426%,82076134310
SH601688,华泰证券,14.17,-0.08,-0.56%,-20.21%,43499656,620104400.05,0.59%,9.637,3.176%,128616130500
SH601127,小康股份,40.98,-2.21,-5.12%,-31.18%,14845653,616913044.96,1.44%,,,55730338086
SH600155,华创阳安,9.2,-0.42,-4.37%,-7.63%,64507438,609408115.56,3.71%,21.973,,16003921162
SH600406,国电南瑞,26.85,-1.23,-4.38%,-32.93%,22444235,609376864.91,0.41%,27.256,1.296%,149792365197
SH600787,中储股份,5.67,-0.32,-5.34%,-9.13%,104338097,606419684.07,4.79%,14.158,2.84%,12472871857
SH600603,广汇物流,4.57,-0.47,-9.33%,15.11%,128828152,605597322.78,10.28%,10.027,,5744274511
SH600335,国机汽车,7.61,-0.84,-9.94%,-12.33%,74612999,604276891.26,7.25%,43.288,0.92%,11086821421
SH600585,海螺水泥,37.4,-0.61,-1.6%,-7.2%,16002168,603794227.6,0.4%,5.958,6.364%,198193916455
SH600522,中天科技,14.49,-0.22,-1.5%,-14.56%,41179509,602994159.26,1.21%,41.791,0.62%,49453640457
SH603648,畅联股份,13.1,-1.45,-9.97%,47.69%,45257808,601801334.72,12.49%,34.623,1.398%,4747607680
SH601601,中国太保,21.96,+0.15,+0.69%,-19.03%,27076549,599902038.78,0.4%,7.873,4.554%,211262698352
SH600127,金健米业,8.94,-0.64,-6.68%,5.67%,64921821,597780718.6,10.12%,,,5737541969
SH603123,翠微股份,13.44,-1.04,-7.18%,64.91%,43388481,597597865.15,7.03%,59.332,0.238%,10735020778
SH601665,齐鲁银行,5.79,+0.03,+0.52%,3.76%,102047831,597002531.99,22.28%,9.549,3.109%,26523025004
SH600019,宝钢股份,6.72,-0.22,-3.17%,-6.15%,87359059,594791345.69,0.39%,5.668,9.673%,149643725616
SH600153,建发股份,13.47,-0.09,-0.66%,48.51%,43353711,594381520.05,1.53%,6.325,4.454%,38570301479
SH600622,光大嘉宝,4.51,-0.5,-9.98%,54.45%,130687375,594278709.32,8.71%,23.533,,6763581163
SH600397,安源煤业,3.93,+0.07,+1.81%,36.46%,147624429,582168841.98,14.91%,,,3890542336
SH600150,中国船舶,16.24,-0.53,-3.16%,-34.49%,34610890,572557764.76,1.42%,133.389,0.216%,72632243030
SH600426,华鲁恒升,30.65,-1.69,-5.23%,-2.08%,18332736,572351365.72,0.87%,8.968,2.597%,65055074605
SH600758,辽宁能源,4.74,-0.2,-4.05%,24.74%,119350658,571486580.94,9.04%,,,6266362448
SH601877,正泰电器,32.35,-1.39,-4.12%,-39.97%,17267474,566171407.42,0.8%,11.295,1.546%,69551644375
SH603363,傲农生物,22.5,-0.57,-2.47%,77.17%,24625876,563992550.6,3.72%,,0.662%,15539842733
SH601390,中国中铁,6.36,-0.1,-1.55%,9.84%,87901659,562957370.26,0.43%,5.698,3.082%,157356917424
SH600606,绿地控股,4.7,-0.15,-3.09%,8.29%,117663213,560389311.7,0.92%,4.253,5.066%,60049841889
SH600011,华能国际,6.5,-0.16,-2.4%,-32.92%,84094235,553006793.66,0.76%,,,102037606834
SH600307,酒钢宏兴,2.08,-0.23,-9.96%,-5.45%,259508787,546555003.55,4.14%,12.74,,13027783442
SH601155,新城控股,26.31,-0.54,-2.01%,-9.68%,20109151,539037353.01,0.89%,4.727,,59554951317
SH600064,南京高科,10.24,-0.82,-7.41%,9.64%,50569224,535410852.79,4.09%,5.129,5.859%,12656198533
SH601988,中国银行,3.27,0,0,7.21%,162730743,534212907.22,0.08%,4.445,6.758%,962648077358
SH601789,宁波建工,5.21,-0.39,-6.96%,39.68%,99604246,530744526.45,9.16%,13.619,2.303%,5662220654
SH601607,上海医药,18.2,-0.68,-3.6%,-8.4%,28590362,528755788.61,1.49%,13.205,2.308%,67258231932
SH600602,云赛智联,7.11,-0.68,-8.73%,9.38%,71475153,528745195.59,6.65%,37.882,0.802%,9724158265
SH601689,拓普集团,48.6,-0.49,-1%,-8.3%,10875422,526226615.22,0.99%,52.651,0.572%,53559463399
SH600497,驰宏锌锗,5.28,-0.35,-6.22%,5.81%,96994728,524184791.38,1.91%,29.954,0.947%,26882019479
SH600811,东方集团,3.08,-0.25,-7.51%,2.33%,163385564,522394679.7,4.4%,382.856,,11440894462
SH603266,天龙股份,19.12,-2.12,-9.98%,42.26%,26232451,521122737.87,13.27%,37.293,0.523%,3802714660
SH603290,斯达半导,324.25,-4.75,-1.44%,-14.9%,1558622,513778028.81,1.97%,138.859,0.216%,55319014955
SH601800,中国交建,8.9,-0.24,-2.63%,3.73%,56905570,513717113.29,0.48%,7.996,2.289%,143874831683
SH603288,海天味业,91.01,-0.56,-0.61%,-13.41%,5569001,511654759.65,0.13%,57.473,0.835%,383386557232
SH600295,鄂尔多斯,28.83,-1.43,-4.73%,22.21%,17386429,511342054.69,2.66%,6.759,6.937%,41167713999
SH600600,青岛啤酒,83.98,-1.8,-2.1%,-15.17%,6010566,506054803.76,0.86%,36.311,1.31%,114578515516
SH600157,永泰能源,1.59,-0.02,-1.24%,-12.64%,314886125,505597226.15,1.42%,7.062,,35326244991
SH600121,郑州煤电,4.71,+0.43,+10.05%,-1.46%,108193071,503483813.81,8.88%,,,5738720699
SH600996,贵广网络,8.15,-0.76,-8.53%,46.32%,58859108,502560191.34,5.53%,,,8678211084
SH601377,兴业证券,6.74,+0.05,+0.75%,-31.78%,73978389,500603549.74,1.1%,9.516,,45135567083
SH600138,中青旅,11.04,-0.8,-6.76%,6.36%,44577542,500190835.23,6.16%,376.355,,7991193600
SH600755,厦门国贸,7.53,-0.36,-4.56%,4.44%,65042068,495837536.18,3.21%,4.674,6.64%,15946025409
SH603906,龙蟠科技,28.91,-1.27,-4.21%,-21.95%,16657056,489651841.92,3.46%,39.725,,13937260986
SH600476,湘邮科技,15.16,-0.59,-3.75%,22.06%,31101852,487924879.31,19.31%,,,2441821200
SH603477,巨星农牧,20.28,-1.12,-5.23%,31.1%,23493355,486807322.23,4.88%,39.63,0.256%,10263575024
SH600039,四川路桥,8.72,-0.73,-7.72%,-27.57%,54277931,484352519.03,1.49%,7.459,5.39%,41637772312
SH603345,安井食品,120.67,-4.81,-3.83%,-29.34%,3909962,479241489.75,1.61%,49.261,0.512%,35393625025
SH600985,淮北矿业,14.66,-0.4,-2.66%,31.13%,31940580,478086137.45,1.29%,7.609,4.775%,36371986661
SH600051,宁波联合,9.06,+0.82,+9.95%,21.29%,54303488,478027389.62,17.47%,11.293,1.104%,2816572800
SH600733,北汽蓝谷,6.68,-0.4,-5.65%,-33.33%,69873950,476529175.89,1.79%,,,28639231668
SH605388,均瑶健康,18.7,-1.13,-5.7%,2.8%,23992427,475472319.02,17.03%,54.705,1.176%,8041000000
SH600371,万向德农,13.57,-1.51,-10.01%,1.12%,32869663,474969447.21,11.23%,104.625,0.737%,3970283460
SH600298,安琪酵母,39.32,-1.18,-2.91%,-34.86%,11981748,474655445.19,1.45%,27.776,1.272%,32748092279
SH600063,皖维高新,6.35,-0.25,-3.79%,3.59%,72946896,471516338.86,3.79%,9.642,1.575%,12229431294
SH600708,光明地产,2.87,-0.32,-10.03%,20.08%,159463620,469475276.71,7.17%,34.831,0.697%,6396187452
SH603536,惠发食品,13.71,+1.25,+10.03%,27.42%,35849062,469210196.04,21.1%,,,2397001560
SH600516,方大炭素,7.45,-0.38,-4.85%,-31.15%,61754895,469139159.78,1.62%,27.786,6.711%,28354479242
SH600085,同仁堂,39.03,-1.5,-3.7%,-13.23%,11808510,467134012.4,0.86%,43.612,0.743%,53528484326
SH600132,重庆啤酒,123.57,-1.79,-1.43%,-18.34%,3739283,465411935.28,0.77%,51.279,1.619%,59804320937
SH600328,中盐化工,17.85,-1.36,-7.08%,8.78%,25342555,462940695.68,4.53%,11.474,1.289%,17094312967
SH600860,京城股份,17.01,-1.38,-7.5%,-13.65%,26439854,462697816.16,8.21%,,,8249850000
SH600367,红星发展,21.32,-0.42,-1.93%,14.75%,20689691,461020272.17,7.1%,30.43,0.094%,6251804312
SH600331,宏达股份,3.44,-0.28,-7.53%,7.84%,130514083,458599586.59,6.42%,,,6990080000
SH601868,中国能建,2.34,-0.04,-1.68%,-14.29%,193196774,454898416.05,1.66%,14.999,0.962%,97557322908
SH600198,大唐电信,8.33,+0.5,+6.39%,-5.88%,53683542,449878592.04,6.1%,,,10943195187
SH601117,中国化学,8.72,-0.4,-4.39%,-27.33%,50289471,449158285.87,0.87%,14.084,2.065%,53274583527
SH601101,昊华能源,9.13,-0.1,-1.08%,23.38%,48317535,448180780.99,4.03%,8.892,0.329%,10955984223
SH601865,福莱特,38.46,-4.27,-9.99%,-33.62%,11341868,447425318.8,0.67%,38.949,,82569514549
SH605567,春雪食品,19.01,+0.22,+1.17%,-10.75%,23901849,446350442.33,47.8%,42.863,,3802000000
SH600837,海通证券,9.65,-0.07,-0.72%,-21.29%,46030455,445734564.88,0.52%,9.829,3.109%,126069530000
SH600989,宝丰能源,14.33,-0.1,-0.69%,-17.45%,30704233,444520365.04,1.54%,14.824,1.954%,105087048800
SH600176,中国巨石,14.69,-0.43,-2.84%,-19.29%,29843277,443065096.75,0.75%,9.755,3.268%,58806078534
SH601086,国芳集团,5.28,+0.48,+10%,33.33%,88851705,442942314.44,13.34%,26.794,11.742%,3516480000
SH603051,鹿山新材,44.39,+1.82,+4.28%,72.12%,9984335,439142397.53,43.4%,35.982,,4084323900
SH601995,中金公司,38.6,-0.39,-1%,-21.27%,11221600,436819538.79,1.21%,17.289,0.777%,186332115105
SH600521,华海药业,16.12,-0.83,-4.9%,-25.58%,26634948,436583774.24,1.83%,35.421,1.21%,24047108042
SH601818,光大银行,3.26,-0.02,-0.61%,-1.81%,132293996,433970232.52,0.32%,4.058,6.166%,176144061573
SH600588,用友网络,19.76,-0.7,-3.42%,-44.93%,21405004,431361827.08,0.66%,95.896,0.506%,67871874292
SH600104,上汽集团,16.2,-0.31,-1.88%,-21.47%,26345506,430053574.8,0.23%,7.843,3.827%,189272074113
SH600026,中远海能,7.87,+0.15,+1.94%,32.94%,54348189,429917485.9,1.9%,,,37482385135
SH600392,盛和资源,14.71,-0.91,-5.83%,-25.03%,28467429,429713822.98,1.62%,25.582,0.34%,25784078845
SH603589,口子窖,55.12,-1.08,-1.92%,-22.22%,7717521,428930374.34,1.29%,21.167,2.177%,33072000000
SH601618,中国中冶,3.42,-0.14,-3.93%,-10.7%,122941281,427835799.18,0.69%,8.463,2.281%,70874777561
SH600760,中航沈飞,51.79,-2,-3.72%,-23.88%,8080304,427708083.98,0.41%,59.878,0.792%,101536625498
SH600021,上海电力,8.61,-0.28,-3.15%,-32.84%,48944397,427441031.37,1.87%,323.333,1.278%,22533783736
SH600075,新疆天业,7.33,-0.46,-5.91%,-10.83%,57293544,426822505.55,4.52%,6.943,1.134%,12514906726
SH600872,中炬高新,27.89,-1.15,-3.96%,-26.55%,15067229,426674688.96,1.89%,37.732,2.438%,22218211341
SH600499,科达制造,14.48,-0.64,-4.23%,-41.66%,28819535,425346645.43,1.83%,27.188,1.243%,27344320572
SH600618,氯碱化工,12.6,-1.1,-8.03%,1.53%,32842845,424575403.13,4.38%,8.224,3.175%,14570639698
SH600559,老白干酒,20.57,-0.61,-2.88%,-26.38%,20132839,419881142.37,2.24%,56.097,0.729%,18457202723
SH600489,中金黄金,7.63,-0.33,-4.15%,-7.29%,53952203,417264498.86,1.24%,21.631,2.94%,36984994863
SH600346,恒力石化,19.97,-0.56,-2.73%,-13.06%,20667897,415484562.63,0.29%,9.051,5.058%,140570822726
SH601186,中国铁建,7.63,-0.19,-2.43%,-2.18%,53559920,414313819.9,0.47%,4.196,3.224%,103611901645
SH600873,梅花生物,8.08,-0.43,-5.05%,5.35%,50322312,414105589.7,1.62%,10.649,4.95%,25036849018
SH603070,万控智造,22.99,+2.09,+10%,144.06%,18475994,413110211.12,30.79%,48.518,,9218990000
SH601233,桐昆股份,15.24,-0.51,-3.24%,-28.05%,26726758,412233495.26,1.17%,5.097,0.809%,36745461073
SH600362,江西铜业,18.48,-0.81,-4.2%,-17.24%,21856051,409350484.67,1.05%,11.355,2.706%,63991239404
SH603227,雪峰科技,7.38,+0.06,+0.82%,4.98%,53833381,409168137.47,8.17%,27.997,0.949%,5347326600
SH600737,中粮糖业,8.12,-0.55,-6.34%,-13.62%,48771642,406806487.95,2.28%,33.43,1.355%,17367447611
SH600109,国金证券,9.27,-0.08,-0.86%,-18.18%,43242649,405522521.09,1.43%,15.273,0.755%,28035810804
SH600300,维维股份,3.94,-0.35,-8.16%,-5.06%,99095304,404232972.58,5.93%,29.501,0.761%,6587680000
SH601636,旗滨集团,11,-0.33,-2.91%,-35.67%,36357320,403530884.28,1.35%,7.625,7.273%,29549317281
SH601677,明泰铝业,31.16,-2.08,-6.26%,-29.33%,12625208,402838541.51,1.83%,10.126,0.89%,21462940352
SH600078,*ST澄星,12.48,-0.66,-5.02%,33.33%,31164943,401287716.7,4.7%,,,8268909305
SH600037,歌华有线,9.06,-0.09,-0.98%,4.38%,43179946,399683038.12,3.1%,60.372,0.508%,12609507629
SH600765,中航重机,33.43,-1.3,-3.74%,-33.79%,11665983,399609049.04,1.23%,39.473,0.509%,35156279601
SH603078,江化微,30.82,+0.51,+1.68%,15.95%,12969382,399330355.58,6.62%,106.886,0.292%,6039864468
SH600854,春兰股份,5.62,+0.2,+3.69%,-8.77%,70592758,399075800.49,13.59%,34.995,0.676%,2919356984
