股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH603721,中广天择,13.44,-0.46,-3.31%,-13.74%,4925501,67997908.48,3.79%,77.876,1.116%,1747200000
SH600857,宁波中百,11.5,-0.89,-7.18%,14.31%,5735887,67894331,2.56%,71.928,,2579679069
SH600990,四创电子,40.5,-1.01,-2.43%,-27.9%,1674700,67826008.45,1.05%,30.459,0.815%,6446753955
SH600377,宁沪高速,8.24,-0.15,-1.79%,-4.41%,8163900,67776251.14,0.21%,9.934,5.583%,41511039400
SH600130,波导股份,3.86,-0.13,-3.26%,-5.85%,17386259,67660985.28,2.26%,69.129,,2964480000
SH603916,苏博特,21.16,-0.91,-4.12%,-17.86%,3163977,67660323.82,0.76%,16.692,1.701%,8893734166
SH603158,腾龙股份,9.67,-0.59,-5.75%,-41.39%,6866200,67630325.52,1.96%,21.444,0.96%,3390020922
SH603767,中马传动,8.09,+0.09,+1.13%,3.32%,8436716,67426594.28,2.78%,38.887,3.708%,2475386290
SH603083,剑桥科技,10.54,-0.87,-7.62%,-20.39%,6214132,67368210.2,2.46%,,,2693829706
SH600498,烽火通信,14.08,-0.32,-2.22%,-21.69%,4726667,67349788.05,0.42%,58.077,0.568%,16724616536
SH600128,弘业股份,7.67,-0.33,-4.13%,3.51%,8722188,67282063.29,3.53%,56.981,1.825%,1892706725
SH600237,铜峰电子,6.34,-0.32,-4.8%,-32.91%,10292554,67089658.73,1.82%,70.359,,3578103042
SH605133,嵘泰股份,16.53,-0.9,-5.16%,-42.42%,3944941,67073375.1,9.86%,23.2,1.512%,2644800000
SH603998,方盛制药,5.69,-0.28,-4.69%,-16.32%,11515700,67001259,2.68%,37.29,1.054%,2443455107
SH601702,华峰铝业,7.99,-0.41,-4.88%,-35.15%,8172647,66943910.99,2.94%,17.318,0.476%,7978259494
SH603663,三祥新材,14,-0.58,-3.98%,-49.55%,4636298,66920096.93,2.16%,29.947,0.714%,3009330268
SH603500,祥和实业,12.24,-0.06,-0.49%,35.55%,5421332,66607940,2.21%,45.729,1.174%,3005517018
SH600269,赣粤高速,3.45,-0.1,-2.82%,0.58%,19132247,66596909.68,0.82%,9.032,3.478%,8057154198
SH600979,广安爱众,3.15,-0.18,-5.41%,-12.98%,20643330,66324184.1,1.68%,19.077,1.587%,3881618339
SH603379,三美股份,18.64,-1,-5.09%,-18.17%,3482688,66198589.38,0.57%,45.214,0.59%,11379329250
SH603187,海容冷链,26.99,-0.84,-3.02%,-43.12%,2458881,66130115.71,1.02%,26.788,1.565%,6599369784
SH600398,海澜之家,5.1,-0.13,-2.49%,-20.44%,12696246,66118821.65,0.29%,8.667,5.02%,22029986367
SH600715,文投控股,2.35,-0.08,-3.29%,-29.43%,27541400,66095904,1.48%,,,4358905725
SH600319,*ST亚星,6.18,-0.33,-5.07%,11.35%,10518180,65687042.36,3.33%,10.104,,1950370920
SH600635,大众公用,3.41,-0.11,-3.13%,-10.03%,18997900,65426116.96,0.79%,33.188,1.466%,10067802242
SH600530,交大昂立,3.85,-0.3,-7.23%,-12.7%,16522900,65417344,2.12%,48.543,,3003000000
SH603568,伟明环保,23.72,-0.88,-3.58%,-35.07%,2711102,65286306.93,0.21%,19.986,1.24%,30912878892
SH600848,上海临港,13.08,-0.42,-3.11%,-12.04%,4935765,65138349.18,0.34%,21.311,1.911%,32994130012
SH600855,航天长峰,10.88,-0.54,-4.73%,-37.4%,5867627,65107390.19,1.68%,41.745,0.726%,4900643595
SH601339,百隆东方,6.06,-0.14,-2.26%,2.89%,10466160,65090824.85,0.7%,9.289,3.3%,9090000000
SH605289,罗曼股份,25.35,-1.95,-7.14%,-36.78%,2489030,64848816.5,11.49%,17.314,,2197084500
SH603520,司太立,41.3,-1.5,-3.5%,-36.46%,1546604,64735705.8,0.63%,38.954,1.21%,10119196772
SH603610,麒盛科技,16.69,-0.81,-4.63%,-35.46%,3798831,64732946.45,2.34%,13.089,2.397%,4674363744
SH601107,四川成渝,4.12,-0.25,-5.72%,-23.42%,15404829,64574399.86,0.71%,6.743,2.67%,12599207200
SH603156,养元饮品,23.86,-0.63,-2.57%,-16.02%,2672513,64532967.53,0.21%,14.802,5.029%,30194677296
SH600576,祥源文化,5.31,-0.31,-5.52%,5.57%,11862600,64278905,1.92%,181.52,,3289026792
SH603697,有友食品,14.84,-0.38,-2.5%,-15.54%,4315000,63764566,4.8%,20.511,2.15%,4586236704
SH601368,绿城水务,5.65,-0.27,-4.56%,5.02%,11126774,63517411.1,1.29%,34.723,1.611%,4988797885
